Team,City,State,Stadium City,Stadium State,Venue,League
Blue Jackets,Columbus,Ohio,Columbus,Ohio,Nationwide Arena,NHL
Red Wings,Detroit,Michigan,Detroit,Michigan,Joe Louis Arena,NHL
Predators,Nashville,Tennessee,Nashville,Tennessee,Bridgestone Arena,NHL
Blues,St. Louis,Missouri,St. Louis,Missouri,Scottrade Center,NHL
Flames,Calgary,Alberta,Calgary,Alberta,Scotiabank Saddledome,NHL
Avalanche,Denver,Colorado,Denver,Colorado,Pepsi Center,NHL
Oilers,Edmonton,Alberta,Edmonton,Alberta,Rexall Place,NHL
Wild,St. Paul,Minnesota,St. Paul,Minnesota,Xcel Energy Center,NHL
Canucks,Vancouver,British Columbia,Vancouver,British Columbia,Rogers Arena,NHL
Ducks,Anaheim,California,Anaheim,California,Honda Center,NHL
Stars,Dallas,Texas,Dallas,Texas,American Airlines Center,NHL
Kings,Los Angeles,California,Los Angeles,California,Staples Center,NHL
Coyotes,Phoenix,Arizona,Phoenix,Arizona,Jobing.com Arena,NHL
Sharks,San Jose,California,San Jose,California,HP Pavilion at San Jose,NHL
